input_index,case_id,statement_source,status,split_supported,child_count,raw_output_count,parsed_output_count,parse_failure_count,checker_accepted_count,merge_success,provider_attempt_count,retry_count,cost_estimate_total,latency_ms_total,models
34,lean_ai_iff_function_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.003680055,20968,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
35,lean_ai_iff_predicate_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0019655999999999996,23445,MiniMaxAI/MiniMax-M2.5
36,lean_ai_iff_not_context,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0038937850000000003,15984,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
37,lean_ai_iff_false_context,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.00623134,23039,deepseek-ai/DeepSeek-V4-Pro
38,lean_ai_iff_p_bridge_noise,P ↔ Q,passed,true,2,2,2,0,2,true,3,1,0.0018121,106299,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
39,lean_ai_iff_q_bridge_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.004222645,22592,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
40,lean_ai_iff_type_predicate,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.00407372,18296,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
41,lean_ai_iff_list_eq_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0020556,25605,MiniMaxAI/MiniMax-M2.5
42,lean_ai_iff_option_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.004069000000000001,18127,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
43,lean_ai_iff_bool_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.00383543,25029,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
44,lean_ai_iff_three_prop_chain,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0018402,20464,MiniMaxAI/MiniMax-M2.5
45,lean_ai_iff_p_to_q_chain,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0037795750000000003,23392,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
46,lean_ai_iff_q_to_p_chain,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.003833075,25452,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
47,lean_ai_iff_two_predicates,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0015562000000000002,12010,Qwen/Qwen3.6-27B
48,lean_ai_iff_three_nat_eqs,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.004008665,17133,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
49,lean_ai_iff_dense_context,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0050740049999999995,36163,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
